.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
BH3-2.1	1	1	1	1	0.25	1	1	0.5	1	1	1
BH3-2.2	1	1	1	1	0.25	1	1	0.5	1	1	1
WW1-2.1	1	1	1	1	0.5	0.5	1	0.5	1	1	1
WW1-2.2	1	1	1	1	0.5	0.5	1	0.5	1	1	1
WW1-4.1	1	1	1	1	0.5	1	1	0.5	1	1	1
WW1-4.2	1	1	1	1	0.5	1	1	0.5	1	1	1
WW2-1.1	1	1	1	1	0.5	0.5	1	0.5	1	1	1
WW2-1.2	1	1	1	1	0.5	0.5	1	0.5	1	1	1
WW2-5.1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
WW2-5.2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
WW2-6.1	1	1	1	1	0.5	0.5	1	0.5	1	1	1
WW2-6.2	1	1	1	1	0.5	0.5	1	0.5	1	1	1
WW3-1.1	1	1	1	1	0.5	1	1	0.5	1	1	1
WW3-1.2	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-1.1	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-1.2	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-3.1	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-3.2	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-4.1	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-4.2	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-5.1	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-5.2	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-6.1	1	1	1	1	0.5	1	1	0.5	1	1	1
WW5-6.2	1	1	1	1	0.5	1	1	0.5	1	1	1
