Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
BH3-2.1	(0.0, 80.0)	(1.0, 63.5)	(2.0, 71.0)	(3.0, 109.0)	(4.0, 153.0)	(5.0, 201.0)	(6.0, 307.0)	(7.0, 594.5)	(8.0, 1038.0)	(9.0, 1620.5)	(10.0, 2245.5)	(11.0, 2949.5)	(12.0, 4068.5)	(13.0, 6186.0)	(14.0, 10159.0)	(15.0, 17126.0)	(16.0, 31186.5)	(17.0, 55532.0)	(18.0, 74371.0)	(19.0, 88693.5)	(20.0, 118798.0)	(21.0, 163474.5)	(22.0, 222483.5)	(23.0, 304675.5)	(24.0, 414807.0)	(25.0, 556036.5)	(26.0, 716774.0)	(27.0, 882839.0)	(28.0, 1074804.0)	(29.0, 1293730.0)	(30.0, 1517701.5)	(31.0, 1737038.5)	(32.0, 1946395.0)	(33.0, 2150502.0)	(34.0, 2318026.0)	(35.0, 2413256.5)	(36.0, 2450687.0)	(37.0, 2449759.5)	(38.0, 2411438.5)	(39.0, 2334743.0)	(40.0, 2238891.5)	(41.0, 2098924.5)	(42.0, 1914760.5)	(43.0, 1719297.0)	(44.0, 1511449.5)	(45.0, 1305685.5)	(46.0, 1106030.5)	(47.0, 919228.0)	(48.0, 752939.5)	(49.0, 606841.0)	(50.0, 483564.0)	(51.0, 381554.0)	(52.0, 298690.0)	(53.0, 232722.0)	(54.0, 176381.0)	(55.0, 130110.5)	(56.0, 95568.0)	(57.0, 68538.0)	(58.0, 48625.5)	(59.0, 35020.0)	(60.0, 25308.0)	(61.0, 18598.0)	(62.0, 13651.5)	(63.0, 9950.0)	(64.0, 7250.5)	(65.0, 5152.0)	(66.0, 3662.5)	(67.0, 2713.5)	(68.0, 2019.5)	(69.0, 1564.0)	(70.0, 1226.5)	(71.0, 1041.5)	(72.0, 893.5)	(73.0, 709.5)	(74.0, 616.5)	(75.0, 536.0)	(76.0, 403.0)	(77.0, 311.5)	(78.0, 225.5)	(79.0, 155.5)	(80.0, 113.0)	(81.0, 66.5)	(82.0, 41.0)	(83.0, 22.5)	(84.0, 9.0)	(85.0, 6.0)	(86.0, 3.5)	(87.0, 1.0)	(88.0, 2.0)	(89.0, 1.0)	(90.0, 0.5)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BH3-2.2	(0.0, 342.0)	(1.0, 267.0)	(2.0, 207.5)	(3.0, 249.5)	(4.0, 331.0)	(5.0, 435.0)	(6.0, 561.5)	(7.0, 853.0)	(8.0, 1307.0)	(9.0, 1896.0)	(10.0, 2526.5)	(11.0, 3219.5)	(12.0, 4373.5)	(13.0, 6482.5)	(14.0, 10339.0)	(15.0, 17414.0)	(16.0, 31564.0)	(17.0, 55818.0)	(18.0, 74277.5)	(19.0, 88624.5)	(20.0, 118767.0)	(21.0, 162865.5)	(22.0, 222433.5)	(23.0, 304729.0)	(24.0, 414448.5)	(25.0, 555283.0)	(26.0, 714636.5)	(27.0, 881821.5)	(28.0, 1074030.0)	(29.0, 1290894.0)	(30.0, 1513776.0)	(31.0, 1735020.5)	(32.0, 1946908.0)	(33.0, 2151525.5)	(34.0, 2320237.0)	(35.0, 2414122.5)	(36.0, 2450792.5)	(37.0, 2447550.5)	(38.0, 2408035.0)	(39.0, 2334017.5)	(40.0, 2238803.5)	(41.0, 2101993.0)	(42.0, 1919661.5)	(43.0, 1722074.0)	(44.0, 1511900.5)	(45.0, 1304683.5)	(46.0, 1105262.0)	(47.0, 918709.0)	(48.0, 752005.5)	(49.0, 607325.0)	(50.0, 485479.5)	(51.0, 383298.5)	(52.0, 299298.5)	(53.0, 232057.5)	(54.0, 175918.5)	(55.0, 129933.5)	(56.0, 95576.0)	(57.0, 68768.0)	(58.0, 48559.0)	(59.0, 34865.0)	(60.0, 25146.0)	(61.0, 18367.0)	(62.0, 13682.5)	(63.0, 10102.0)	(64.0, 7278.0)	(65.0, 5165.0)	(66.0, 3706.5)	(67.0, 2717.5)	(68.0, 1996.5)	(69.0, 1580.5)	(70.0, 1307.0)	(71.0, 1072.0)	(72.0, 946.0)	(73.0, 801.5)	(74.0, 656.5)	(75.0, 535.0)	(76.0, 382.0)	(77.0, 295.0)	(78.0, 235.0)	(79.0, 168.5)	(80.0, 120.0)	(81.0, 74.0)	(82.0, 48.5)	(83.0, 31.0)	(84.0, 18.5)	(85.0, 9.0)	(86.0, 7.5)	(87.0, 7.0)	(88.0, 5.0)	(89.0, 2.5)	(90.0, 1.0)	(91.0, 2.5)	(92.0, 4.5)	(93.0, 5.0)	(94.0, 9.0)	(95.0, 11.0)	(96.0, 10.0)	(97.0, 13.5)	(98.0, 13.0)	(99.0, 8.0)	(100.0, 10.0)
WW1-2.1	(0.0, 22.0)	(1.0, 28.5)	(2.0, 47.5)	(3.0, 76.0)	(4.0, 124.5)	(5.0, 177.0)	(6.0, 234.5)	(7.0, 427.0)	(8.0, 778.5)	(9.0, 1296.5)	(10.0, 1752.0)	(11.0, 2375.5)	(12.0, 3625.0)	(13.0, 5573.5)	(14.0, 9210.5)	(15.0, 15514.0)	(16.0, 29809.5)	(17.0, 50500.5)	(18.0, 66915.5)	(19.0, 83839.0)	(20.0, 113624.5)	(21.0, 155812.5)	(22.0, 213905.5)	(23.0, 295256.5)	(24.0, 402150.5)	(25.0, 534648.5)	(26.0, 690785.0)	(27.0, 869441.5)	(28.0, 1072731.5)	(29.0, 1298641.0)	(30.0, 1535188.5)	(31.0, 1769440.0)	(32.0, 1994422.0)	(33.0, 2211271.0)	(34.0, 2395249.5)	(35.0, 2516694.0)	(36.0, 2583685.5)	(37.0, 2607357.5)	(38.0, 2590032.5)	(39.0, 2530127.0)	(40.0, 2437722.5)	(41.0, 2298565.0)	(42.0, 2117429.5)	(43.0, 1915205.5)	(44.0, 1698342.5)	(45.0, 1481353.5)	(46.0, 1266820.5)	(47.0, 1065322.0)	(48.0, 880269.0)	(49.0, 716170.5)	(50.0, 579378.5)	(51.0, 464591.5)	(52.0, 369992.0)	(53.0, 295321.5)	(54.0, 231838.0)	(55.0, 180085.0)	(56.0, 141343.5)	(57.0, 111410.0)	(58.0, 91215.0)	(59.0, 79352.5)	(60.0, 71742.5)	(61.0, 67678.5)	(62.0, 65907.0)	(63.0, 65126.5)	(64.0, 65002.0)	(65.0, 65727.5)	(66.0, 65859.5)	(67.0, 64689.5)	(68.0, 62703.5)	(69.0, 59510.5)	(70.0, 55330.0)	(71.0, 50341.0)	(72.0, 44232.5)	(73.0, 37795.0)	(74.0, 31521.0)	(75.0, 25435.5)	(76.0, 19707.0)	(77.0, 14659.0)	(78.0, 10642.5)	(79.0, 7451.5)	(80.0, 4999.0)	(81.0, 3268.5)	(82.0, 2046.0)	(83.0, 1210.5)	(84.0, 705.0)	(85.0, 396.5)	(86.0, 222.0)	(87.0, 132.0)	(88.0, 63.0)	(89.0, 37.0)	(90.0, 20.5)	(91.0, 8.5)	(92.0, 6.0)	(93.0, 2.5)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
WW1-2.2	(0.0, 363.0)	(1.0, 298.0)	(2.0, 229.5)	(3.0, 243.5)	(4.0, 299.0)	(5.0, 383.0)	(6.0, 473.0)	(7.0, 712.0)	(8.0, 1089.5)	(9.0, 1552.5)	(10.0, 2027.5)	(11.0, 2656.5)	(12.0, 3846.0)	(13.0, 5830.5)	(14.0, 9428.0)	(15.0, 15885.0)	(16.0, 30626.5)	(17.0, 51061.0)	(18.0, 67468.0)	(19.0, 84624.5)	(20.0, 113706.5)	(21.0, 156518.5)	(22.0, 214911.5)	(23.0, 294462.5)	(24.0, 400959.0)	(25.0, 533845.0)	(26.0, 687660.5)	(27.0, 865746.0)	(28.0, 1070134.0)	(29.0, 1295550.5)	(30.0, 1533003.0)	(31.0, 1768424.0)	(32.0, 1992925.0)	(33.0, 2210779.5)	(34.0, 2394710.5)	(35.0, 2514333.0)	(36.0, 2582362.0)	(37.0, 2607630.5)	(38.0, 2588395.5)	(39.0, 2528752.0)	(40.0, 2438042.5)	(41.0, 2300415.5)	(42.0, 2120126.0)	(43.0, 1916697.0)	(44.0, 1697347.0)	(45.0, 1481491.5)	(46.0, 1270463.0)	(47.0, 1066982.0)	(48.0, 881738.0)	(49.0, 718912.0)	(50.0, 580310.0)	(51.0, 465289.0)	(52.0, 372126.0)	(53.0, 296546.0)	(54.0, 232246.0)	(55.0, 180099.5)	(56.0, 140907.0)	(57.0, 111289.0)	(58.0, 91296.5)	(59.0, 79416.0)	(60.0, 71374.5)	(61.0, 67148.5)	(62.0, 65772.0)	(63.0, 65264.0)	(64.0, 65334.5)	(65.0, 65598.0)	(66.0, 65778.0)	(67.0, 64828.0)	(68.0, 62781.5)	(69.0, 59449.0)	(70.0, 55143.0)	(71.0, 50153.0)	(72.0, 44087.5)	(73.0, 37683.5)	(74.0, 31383.5)	(75.0, 25326.5)	(76.0, 19721.0)	(77.0, 14704.0)	(78.0, 10636.5)	(79.0, 7406.5)	(80.0, 4848.5)	(81.0, 3166.5)	(82.0, 2049.0)	(83.0, 1236.5)	(84.0, 702.0)	(85.0, 416.0)	(86.0, 218.0)	(87.0, 99.0)	(88.0, 57.5)	(89.0, 27.5)	(90.0, 15.0)	(91.0, 13.0)	(92.0, 7.0)	(93.0, 7.0)	(94.0, 11.5)	(95.0, 14.5)	(96.0, 16.0)	(97.0, 12.5)	(98.0, 10.0)	(99.0, 11.5)	(100.0, 15.5)
WW1-4.1	(0.0, 19.0)	(1.0, 21.0)	(2.0, 26.0)	(3.0, 28.5)	(4.0, 55.0)	(5.0, 102.5)	(6.0, 151.5)	(7.0, 282.0)	(8.0, 493.5)	(9.0, 817.0)	(10.0, 1247.0)	(11.0, 1856.0)	(12.0, 2973.5)	(13.0, 4835.5)	(14.0, 8299.5)	(15.0, 14142.0)	(16.0, 27655.0)	(17.0, 50336.0)	(18.0, 67521.5)	(19.0, 81691.5)	(20.0, 109157.5)	(21.0, 150630.5)	(22.0, 207959.0)	(23.0, 286905.5)	(24.0, 391732.0)	(25.0, 524551.0)	(26.0, 679048.5)	(27.0, 851838.0)	(28.0, 1049942.5)	(29.0, 1269088.0)	(30.0, 1498002.0)	(31.0, 1726554.5)	(32.0, 1944291.0)	(33.0, 2152167.0)	(34.0, 2327778.0)	(35.0, 2442112.5)	(36.0, 2503473.5)	(37.0, 2523198.0)	(38.0, 2502085.0)	(39.0, 2437891.0)	(40.0, 2346825.0)	(41.0, 2211006.5)	(42.0, 2031275.0)	(43.0, 1836732.5)	(44.0, 1629804.0)	(45.0, 1420041.5)	(46.0, 1210550.0)	(47.0, 1014166.5)	(48.0, 835240.5)	(49.0, 675041.5)	(50.0, 541618.0)	(51.0, 431628.5)	(52.0, 340588.0)	(53.0, 267361.5)	(54.0, 204444.0)	(55.0, 152104.0)	(56.0, 111697.0)	(57.0, 79222.5)	(58.0, 56264.5)	(59.0, 41147.5)	(60.0, 29924.5)	(61.0, 22058.5)	(62.0, 16037.0)	(63.0, 11438.0)	(64.0, 8252.0)	(65.0, 5636.0)	(66.0, 3719.0)	(67.0, 2550.0)	(68.0, 1739.0)	(69.0, 1199.5)	(70.0, 843.5)	(71.0, 570.5)	(72.0, 413.5)	(73.0, 321.0)	(74.0, 236.0)	(75.0, 163.5)	(76.0, 118.5)	(77.0, 88.0)	(78.0, 64.5)	(79.0, 48.5)	(80.0, 36.5)	(81.0, 30.0)	(82.0, 18.5)	(83.0, 11.0)	(84.0, 9.0)	(85.0, 8.0)	(86.0, 6.5)	(87.0, 2.5)	(88.0, 1.5)	(89.0, 1.5)	(90.0, 1.5)	(91.0, 1.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
WW1-4.2	(0.0, 251.0)	(1.0, 229.0)	(2.0, 194.5)	(3.0, 190.0)	(4.0, 235.0)	(5.0, 275.5)	(6.0, 327.5)	(7.0, 475.0)	(8.0, 724.0)	(9.0, 1102.5)	(10.0, 1566.0)	(11.0, 2150.5)	(12.0, 3195.0)	(13.0, 5068.5)	(14.0, 8509.5)	(15.0, 14510.0)	(16.0, 28289.5)	(17.0, 50884.0)	(18.0, 68012.5)	(19.0, 82012.5)	(20.0, 109651.0)	(21.0, 150820.5)	(22.0, 206946.0)	(23.0, 286006.0)	(24.0, 391953.0)	(25.0, 523242.5)	(26.0, 676362.0)	(27.0, 849612.5)	(28.0, 1048671.0)	(29.0, 1268002.0)	(30.0, 1495668.0)	(31.0, 1723813.0)	(32.0, 1940538.0)	(33.0, 2146638.5)	(34.0, 2324285.5)	(35.0, 2439597.0)	(36.0, 2501976.0)	(37.0, 2523328.0)	(38.0, 2500087.0)	(39.0, 2438450.0)	(40.0, 2346879.0)	(41.0, 2212206.0)	(42.0, 2036454.5)	(43.0, 1840926.0)	(44.0, 1633379.0)	(45.0, 1422580.0)	(46.0, 1212053.0)	(47.0, 1014503.0)	(48.0, 836317.5)	(49.0, 677443.0)	(50.0, 543224.0)	(51.0, 432195.0)	(52.0, 341072.5)	(53.0, 268261.5)	(54.0, 205229.5)	(55.0, 151999.0)	(56.0, 111786.5)	(57.0, 80192.5)	(58.0, 57101.5)	(59.0, 41350.5)	(60.0, 29527.5)	(61.0, 21443.0)	(62.0, 15695.0)	(63.0, 11175.0)	(64.0, 8048.0)	(65.0, 5668.0)	(66.0, 3864.5)	(67.0, 2727.0)	(68.0, 1886.0)	(69.0, 1245.5)	(70.0, 836.0)	(71.0, 599.0)	(72.0, 432.5)	(73.0, 338.0)	(74.0, 265.0)	(75.0, 181.5)	(76.0, 137.5)	(77.0, 106.0)	(78.0, 72.5)	(79.0, 52.5)	(80.0, 34.5)	(81.0, 21.0)	(82.0, 14.0)	(83.0, 13.0)	(84.0, 10.5)	(85.0, 6.0)	(86.0, 7.5)	(87.0, 7.0)	(88.0, 5.0)	(89.0, 6.5)	(90.0, 7.0)	(91.0, 8.0)	(92.0, 7.5)	(93.0, 4.5)	(94.0, 2.5)	(95.0, 5.0)	(96.0, 9.0)	(97.0, 11.5)	(98.0, 10.0)	(99.0, 5.0)	(100.0, 6.5)
WW2-1.1	(0.0, 43.0)	(1.0, 35.5)	(2.0, 40.5)	(3.0, 80.5)	(4.0, 125.5)	(5.0, 168.5)	(6.0, 235.5)	(7.0, 501.5)	(8.0, 897.5)	(9.0, 1441.0)	(10.0, 2018.5)	(11.0, 2725.0)	(12.0, 3845.0)	(13.0, 5709.5)	(14.0, 9245.5)	(15.0, 15022.5)	(16.0, 26495.5)	(17.0, 43489.0)	(18.0, 59321.5)	(19.0, 77559.5)	(20.0, 106980.0)	(21.0, 148479.5)	(22.0, 204161.5)	(23.0, 282099.5)	(24.0, 384750.0)	(25.0, 509593.0)	(26.0, 657882.0)	(27.0, 830982.0)	(28.0, 1029408.5)	(29.0, 1246466.5)	(30.0, 1473159.0)	(31.0, 1698786.5)	(32.0, 1914681.5)	(33.0, 2121622.5)	(34.0, 2301009.5)	(35.0, 2424756.5)	(36.0, 2496228.0)	(37.0, 2524619.0)	(38.0, 2511524.5)	(39.0, 2459824.5)	(40.0, 2377799.0)	(41.0, 2252815.0)	(42.0, 2085795.0)	(43.0, 1896173.0)	(44.0, 1692506.0)	(45.0, 1489144.5)	(46.0, 1289699.0)	(47.0, 1104796.0)	(48.0, 937303.5)	(49.0, 787386.0)	(50.0, 662217.5)	(51.0, 561924.0)	(52.0, 481027.5)	(53.0, 415384.5)	(54.0, 359360.5)	(55.0, 312502.0)	(56.0, 275279.5)	(57.0, 244577.5)	(58.0, 221679.5)	(59.0, 204507.0)	(60.0, 190744.0)	(61.0, 179665.5)	(62.0, 169934.5)	(63.0, 160780.0)	(64.0, 152321.5)	(65.0, 143335.0)	(66.0, 133720.0)	(67.0, 123458.0)	(68.0, 112055.0)	(69.0, 99851.0)	(70.0, 87232.0)	(71.0, 74484.5)	(72.0, 61895.0)	(73.0, 49890.5)	(74.0, 38770.0)	(75.0, 28969.5)	(76.0, 21003.5)	(77.0, 14720.0)	(78.0, 9942.5)	(79.0, 6509.5)	(80.0, 4067.5)	(81.0, 2527.0)	(82.0, 1586.0)	(83.0, 944.0)	(84.0, 525.5)	(85.0, 295.5)	(86.0, 161.5)	(87.0, 88.5)	(88.0, 52.5)	(89.0, 28.5)	(90.0, 13.5)	(91.0, 6.5)	(92.0, 4.0)	(93.0, 2.5)	(94.0, 1.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 1.0)
WW2-1.2	(0.0, 372.0)	(1.0, 309.0)	(2.0, 259.5)	(3.0, 285.0)	(4.0, 309.0)	(5.0, 379.5)	(6.0, 501.0)	(7.0, 771.5)	(8.0, 1248.0)	(9.0, 1791.5)	(10.0, 2266.5)	(11.0, 3014.5)	(12.0, 4178.0)	(13.0, 5997.0)	(14.0, 9570.5)	(15.0, 15411.0)	(16.0, 26706.5)	(17.0, 43428.5)	(18.0, 59358.0)	(19.0, 77953.0)	(20.0, 108154.5)	(21.0, 149394.0)	(22.0, 204864.5)	(23.0, 282449.0)	(24.0, 384940.0)	(25.0, 510195.0)	(26.0, 659225.0)	(27.0, 831856.0)	(28.0, 1028379.0)	(29.0, 1244956.5)	(30.0, 1470666.5)	(31.0, 1697935.0)	(32.0, 1916557.5)	(33.0, 2124202.0)	(34.0, 2302338.5)	(35.0, 2424639.5)	(36.0, 2497701.0)	(37.0, 2525293.5)	(38.0, 2509944.5)	(39.0, 2459402.5)	(40.0, 2376685.5)	(41.0, 2252340.0)	(42.0, 2087208.5)	(43.0, 1895749.0)	(44.0, 1691413.0)	(45.0, 1488743.5)	(46.0, 1289068.0)	(47.0, 1102162.5)	(48.0, 933897.0)	(49.0, 785897.5)	(50.0, 661940.0)	(51.0, 561257.0)	(52.0, 479869.0)	(53.0, 415402.0)	(54.0, 360914.0)	(55.0, 313537.0)	(56.0, 276628.5)	(57.0, 246367.5)	(58.0, 221629.0)	(59.0, 203258.5)	(60.0, 190087.5)	(61.0, 180084.0)	(62.0, 170163.5)	(63.0, 160495.0)	(64.0, 151927.0)	(65.0, 142943.5)	(66.0, 133465.5)	(67.0, 123077.0)	(68.0, 111702.5)	(69.0, 99949.5)	(70.0, 87312.5)	(71.0, 74375.0)	(72.0, 61880.5)	(73.0, 49598.5)	(74.0, 38420.0)	(75.0, 28877.5)	(76.0, 20886.5)	(77.0, 14535.5)	(78.0, 9736.5)	(79.0, 6387.5)	(80.0, 4048.5)	(81.0, 2531.0)	(82.0, 1605.0)	(83.0, 924.0)	(84.0, 502.5)	(85.0, 302.0)	(86.0, 176.5)	(87.0, 102.5)	(88.0, 63.0)	(89.0, 36.5)	(90.0, 21.5)	(91.0, 11.0)	(92.0, 7.0)	(93.0, 9.0)	(94.0, 8.0)	(95.0, 7.0)	(96.0, 8.0)	(97.0, 8.0)	(98.0, 9.0)	(99.0, 12.5)	(100.0, 19.0)
WW2-5.1	(0.0, 49.0)	(1.0, 42.5)	(2.0, 58.0)	(3.0, 118.0)	(4.0, 166.0)	(5.0, 228.5)	(6.0, 367.0)	(7.0, 650.5)	(8.0, 1167.5)	(9.0, 1896.0)	(10.0, 2490.5)	(11.0, 3228.0)	(12.0, 4599.0)	(13.0, 6708.0)	(14.0, 10647.5)	(15.0, 17429.0)	(16.0, 29436.5)	(17.0, 46986.5)	(18.0, 64934.5)	(19.0, 85114.0)	(20.0, 116186.5)	(21.0, 160695.0)	(22.0, 221566.0)	(23.0, 305482.0)	(24.0, 416591.5)	(25.0, 553151.5)	(26.0, 711019.0)	(27.0, 890676.5)	(28.0, 1095960.5)	(29.0, 1323546.0)	(30.0, 1560682.5)	(31.0, 1794132.0)	(32.0, 2017740.0)	(33.0, 2234762.5)	(34.0, 2421806.5)	(35.0, 2542659.5)	(36.0, 2608253.5)	(37.0, 2635162.0)	(38.0, 2618476.5)	(39.0, 2559383.5)	(40.0, 2471310.5)	(41.0, 2330290.0)	(42.0, 2140990.0)	(43.0, 1935888.5)	(44.0, 1721091.0)	(45.0, 1505158.5)	(46.0, 1291129.0)	(47.0, 1095086.0)	(48.0, 916425.5)	(49.0, 758978.5)	(50.0, 629816.5)	(51.0, 521309.5)	(52.0, 435312.5)	(53.0, 369562.5)	(54.0, 312723.0)	(55.0, 265151.5)	(56.0, 228307.5)	(57.0, 198400.0)	(58.0, 176249.5)	(59.0, 160253.0)	(60.0, 148408.0)	(61.0, 139137.0)	(62.0, 130786.5)	(63.0, 122410.0)	(64.0, 114109.0)	(65.0, 106392.5)	(66.0, 97668.5)	(67.0, 88881.5)	(68.0, 80247.5)	(69.0, 70663.5)	(70.0, 61147.5)	(71.0, 52144.5)	(72.0, 43091.5)	(73.0, 34107.5)	(74.0, 26300.0)	(75.0, 19670.5)	(76.0, 14092.5)	(77.0, 9867.5)	(78.0, 6468.5)	(79.0, 3993.0)	(80.0, 2474.0)	(81.0, 1470.0)	(82.0, 873.0)	(83.0, 511.5)	(84.0, 279.5)	(85.0, 139.5)	(86.0, 67.0)	(87.0, 37.0)	(88.0, 21.0)	(89.0, 9.5)	(90.0, 4.0)	(91.0, 3.5)	(92.0, 1.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
WW2-5.2	(0.0, 286.0)	(1.0, 253.0)	(2.0, 235.0)	(3.0, 278.0)	(4.0, 340.0)	(5.0, 413.5)	(6.0, 531.0)	(7.0, 852.5)	(8.0, 1424.5)	(9.0, 2182.0)	(10.0, 2827.5)	(11.0, 3571.0)	(12.0, 4938.5)	(13.0, 7093.0)	(14.0, 11011.5)	(15.0, 17695.5)	(16.0, 30178.0)	(17.0, 47897.0)	(18.0, 65275.5)	(19.0, 84866.5)	(20.0, 116070.5)	(21.0, 160635.5)	(22.0, 221886.5)	(23.0, 306395.5)	(24.0, 416642.5)	(25.0, 552618.0)	(26.0, 710533.0)	(27.0, 891034.5)	(28.0, 1096489.0)	(29.0, 1321476.0)	(30.0, 1557195.5)	(31.0, 1793257.0)	(32.0, 2018789.5)	(33.0, 2235072.0)	(34.0, 2420438.5)	(35.0, 2538138.5)	(36.0, 2607719.5)	(37.0, 2638238.5)	(38.0, 2620219.0)	(39.0, 2558547.0)	(40.0, 2465123.5)	(41.0, 2328156.5)	(42.0, 2143430.5)	(43.0, 1938168.5)	(44.0, 1723097.0)	(45.0, 1506086.5)	(46.0, 1292362.5)	(47.0, 1094776.5)	(48.0, 915600.5)	(49.0, 758913.5)	(50.0, 629472.5)	(51.0, 521356.5)	(52.0, 435229.0)	(53.0, 369234.5)	(54.0, 312954.0)	(55.0, 265432.0)	(56.0, 229315.5)	(57.0, 199333.0)	(58.0, 176116.5)	(59.0, 160563.0)	(60.0, 148096.0)	(61.0, 138238.0)	(62.0, 130363.5)	(63.0, 122292.0)	(64.0, 114140.0)	(65.0, 106128.5)	(66.0, 97871.0)	(67.0, 89085.0)	(68.0, 79837.5)	(69.0, 70985.0)	(70.0, 61691.5)	(71.0, 52144.0)	(72.0, 43129.0)	(73.0, 34465.0)	(74.0, 26533.0)	(75.0, 19459.0)	(76.0, 13761.5)	(77.0, 9563.5)	(78.0, 6364.5)	(79.0, 4060.0)	(80.0, 2502.0)	(81.0, 1431.5)	(82.0, 809.0)	(83.0, 485.0)	(84.0, 291.5)	(85.0, 163.0)	(86.0, 83.5)	(87.0, 47.0)	(88.0, 34.0)	(89.0, 20.0)	(90.0, 9.0)	(91.0, 7.5)	(92.0, 8.5)	(93.0, 10.0)	(94.0, 11.5)	(95.0, 16.0)	(96.0, 16.5)	(97.0, 14.5)	(98.0, 15.5)	(99.0, 11.0)	(100.0, 9.0)
