Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
BH3-2.1	(21.0, 1.0)	(22.0, 17.0)	(23.0, 232.0)	(24.0, 3149.0)	(25.0, 14126.0)	(26.0, 29983.0)	(27.0, 55700.0)	(28.0, 94495.0)	(29.0, 148750.0)	(30.0, 213531.0)	(31.0, 297428.0)	(32.0, 403702.0)	(33.0, 565025.0)	(34.0, 895354.0)	(35.0, 2206034.0)	(36.0, 32918786.0)	(37.0, 5977267.0)	
BH3-2.2	(21.0, 4.0)	(22.0, 42.0)	(23.0, 715.0)	(24.0, 9114.0)	(25.0, 31339.0)	(26.0, 50971.0)	(27.0, 71961.0)	(28.0, 99803.0)	(29.0, 140576.0)	(30.0, 194524.0)	(31.0, 274707.0)	(32.0, 396525.0)	(33.0, 617940.0)	(34.0, 1187389.0)	(35.0, 4227854.0)	(36.0, 33878281.0)	(37.0, 2641835.0)	
WW1-2.1	(21.0, 1.0)	(22.0, 11.0)	(23.0, 255.0)	(24.0, 3868.0)	(25.0, 17647.0)	(26.0, 36995.0)	(27.0, 66807.0)	(28.0, 111280.0)	(29.0, 169719.0)	(30.0, 239754.0)	(31.0, 325119.0)	(32.0, 436898.0)	(33.0, 605420.0)	(34.0, 955427.0)	(35.0, 2344677.0)	(36.0, 35876455.0)	(37.0, 6666861.0)	
WW1-2.2	(21.0, 3.0)	(22.0, 40.0)	(23.0, 730.0)	(24.0, 10434.0)	(25.0, 37346.0)	(26.0, 59163.0)	(27.0, 83069.0)	(28.0, 113782.0)	(29.0, 156139.0)	(30.0, 214607.0)	(31.0, 299745.0)	(32.0, 427704.0)	(33.0, 664393.0)	(34.0, 1280853.0)	(35.0, 4626143.0)	(36.0, 37146471.0)	(37.0, 2736572.0)	
WW1-4.1	(21.0, 3.0)	(22.0, 13.0)	(23.0, 266.0)	(24.0, 3281.0)	(25.0, 15038.0)	(26.0, 31346.0)	(27.0, 57582.0)	(28.0, 97962.0)	(29.0, 152276.0)	(30.0, 218392.0)	(31.0, 298180.0)	(32.0, 404027.0)	(33.0, 559148.0)	(34.0, 885272.0)	(35.0, 2214124.0)	(36.0, 34261234.0)	(37.0, 6030561.0)	
WW1-4.2	(20.0, 1.0)	(21.0, 2.0)	(22.0, 40.0)	(23.0, 610.0)	(24.0, 8458.0)	(25.0, 30384.0)	(26.0, 49440.0)	(27.0, 70992.0)	(28.0, 98884.0)	(29.0, 138170.0)	(30.0, 191246.0)	(31.0, 267716.0)	(32.0, 384728.0)	(33.0, 596653.0)	(34.0, 1157203.0)	(35.0, 4244034.0)	(36.0, 35398447.0)	(37.0, 2591697.0)
WW2-1.1	(21.0, 3.0)	(22.0, 33.0)	(23.0, 301.0)	(24.0, 3852.0)	(25.0, 16355.0)	(26.0, 33531.0)	(27.0, 61861.0)	(28.0, 104372.0)	(29.0, 162351.0)	(30.0, 233808.0)	(31.0, 322638.0)	(32.0, 434212.0)	(33.0, 604506.0)	(34.0, 952997.0)	(35.0, 2322953.0)	(36.0, 36473203.0)	(37.0, 7216029.0)	
WW2-1.2	(21.0, 6.0)	(22.0, 41.0)	(23.0, 722.0)	(24.0, 9825.0)	(25.0, 33337.0)	(26.0, 53095.0)	(27.0, 75323.0)	(28.0, 105309.0)	(29.0, 147869.0)	(30.0, 203894.0)	(31.0, 285953.0)	(32.0, 412004.0)	(33.0, 642307.0)	(34.0, 1231953.0)	(35.0, 4453406.0)	(36.0, 38288422.0)	(37.0, 2999539.0)	
WW2-5.1	(21.0, 2.0)	(22.0, 30.0)	(23.0, 340.0)	(24.0, 3849.0)	(25.0, 16178.0)	(26.0, 33120.0)	(27.0, 59915.0)	(28.0, 100724.0)	(29.0, 159336.0)	(30.0, 231938.0)	(31.0, 323840.0)	(32.0, 441664.0)	(33.0, 622778.0)	(34.0, 992582.0)	(35.0, 2457196.0)	(36.0, 37246577.0)	(37.0, 7033460.0)	
WW2-5.2	(21.0, 1.0)	(22.0, 46.0)	(23.0, 1020.0)	(24.0, 13379.0)	(25.0, 44410.0)	(26.0, 69545.0)	(27.0, 96058.0)	(28.0, 131798.0)	(29.0, 180180.0)	(30.0, 245300.0)	(31.0, 342444.0)	(32.0, 493505.0)	(33.0, 778721.0)	(34.0, 1559257.0)	(35.0, 5841956.0)	(36.0, 37751532.0)	(37.0, 2174377.0)	
