Sample	Unique Reads	Duplicate Reads
BH3-2.1	33867911	9955669
BH3-2.2	33942957	9880623
WW1-2.1	38018540	9838654
WW1-2.2	38093140	9764054
WW1-4.1	36229226	8999479
WW1-4.2	36302053	8926652
WW2-1.1	38809044	10133961
WW2-1.2	38878070	10064935
WW2-5.1	38674334	11049195
WW2-5.2	38772886	10950643
WW2-6.1	35720148	9502848
WW2-6.2	35844052	9378944
WW3-1.1	29996744	6572406
WW3-1.2	30024170	6544980
WW5-1.1	36612251	9040980
WW5-1.2	36682066	8971165
WW5-3.1	38497620	9378626
WW5-3.2	38710940	9165306
WW5-4.1	24846856	3375925
WW5-4.2	24849278	3373503
WW5-5.1	47782948	14275862
WW5-5.2	47856482	14202328
WW5-6.1	26076230	3994339
WW5-6.2	26136297	3934272
