Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BH3-2.1	(1.0, 62.71457302498885)	(2.0, 22.21278014423282)	(3.0, 6.992472611685363)	(4.0, 2.3434171409868676)	(5.0, 1.0196979101835897)	(6.0, 0.6038148456410931)	(7.0, 0.40472097822857217)	(8.0, 0.31518336819164033)	(9.0, 0.22541720823706607)	('>10', 1.8851267545110229)	('>50', 0.2741418699398292)	('>100', 0.27816981934100116)	('>500', 0.08342051070273203)	('>1k', 0.26335766343449457)	('>5k', 0.19052184943019862)	('>10k+', 0.19318430026481712)
BH3-2.2	(1.0, 62.97901130212268)	(2.0, 22.052508864715957)	(3.0, 6.930521095952702)	(4.0, 2.4419158603695914)	(5.0, 0.9871830079920069)	(6.0, 0.5571199209213729)	(7.0, 0.4018762295656172)	(8.0, 0.27426372541322924)	(9.0, 0.24354285272267948)	('>10', 1.8726614086085713)	('>50', 0.2767599035385529)	('>100', 0.29402059181436596)	('>500', 0.0858249908716188)	('>1k', 0.2671519511467063)	('>5k', 0.15509583991182901)	('>10k+', 0.18054245433241997)
WW1-2.1	(1.0, 65.653455058977)	(2.0, 21.842826935730024)	(3.0, 5.910645536718164)	(4.0, 1.8303728416214797)	(5.0, 0.7807855494119889)	(6.0, 0.40235576238687004)	(7.0, 0.3206545411090083)	(8.0, 0.23274397646046394)	(9.0, 0.19786070155391622)	('>10', 2.0267728026305316)	('>50', 0.20235785805224246)	('>100', 0.17704935293635388)	('>500', 0.06337001675807495)	('>1k', 0.2626746106378343)	('>5k', 0.09607445501591697)	('>10k+', 0.0)
WW1-2.2	(1.0, 65.86981213264446)	(2.0, 21.760190832821433)	(3.0, 5.8716434874090995)	(4.0, 1.8509391569212144)	(5.0, 0.7340338724709792)	(6.0, 0.44753879353874443)	(7.0, 0.2967001746648479)	(8.0, 0.22780050383339007)	(9.0, 0.17983921207839007)	('>10', 1.9808874633344777)	('>50', 0.22253060810921008)	('>100', 0.17217554157239467)	('>500', 0.048967335398799924)	('>1k', 0.2506959372488695)	('>5k', 0.08624494795363254)	('>10k+', 0.0)
WW1-4.1	(1.0, 66.6544443259294)	(2.0, 21.324465400479323)	(3.0, 5.702314985313792)	(4.0, 1.785209973239036)	(5.0, 0.7341594260122898)	(6.0, 0.45264956292882985)	(7.0, 0.34290902219996433)	(8.0, 0.22788071964274878)	(9.0, 0.20604604813213245)	('>10', 1.891064931583963)	('>50', 0.15629641837808053)	('>100', 0.12101566145932331)	('>500', 0.0610920670919965)	('>1k', 0.20152016405905168)	('>5k', 0.10729715366657074)	('>10k+', 0.03163413988349558)
WW1-4.2	(1.0, 66.8849443906549)	(2.0, 21.276913258977512)	(3.0, 5.59866353920727)	(4.0, 1.7226138820886965)	(5.0, 0.739305739869576)	(6.0, 0.4717688800998242)	(7.0, 0.3439782872973819)	(8.0, 0.25001413821831986)	(9.0, 0.21613832306927694)	('>10', 1.8445435282831237)	('>50', 0.12850825610902938)	('>100', 0.14521504598965898)	('>500', 0.05975430598992833)	('>1k', 0.2141654900960829)	('>5k', 0.07612265052725446)	('>10k+', 0.027350283522240518)
WW2-1.1	(1.0, 64.93378458850387)	(2.0, 22.605189466992847)	(3.0, 6.470735698283221)	(4.0, 1.9421455888280414)	(5.0, 0.7735450799992211)	(6.0, 0.4448218031071643)	(7.0, 0.2998962642385462)	(8.0, 0.2259326346403519)	(9.0, 0.1789422285199613)	('>10', 1.4940383142094185)	('>50', 0.1215905830576605)	('>100', 0.183262178799864)	('>500', 0.06199481196845374)	('>1k', 0.17363711823975198)	('>5k', 0.09048364061168972)	('>10k+', 0.0)
WW2-1.2	(1.0, 65.13614167250775)	(2.0, 22.523234795574304)	(3.0, 6.498784595674856)	(4.0, 1.8804864498023457)	(5.0, 0.7016104607441209)	(6.0, 0.4308666975687701)	(7.0, 0.27586932430597677)	(8.0, 0.2440467597690863)	(9.0, 0.18198735463120785)	('>10', 1.5406202319703113)	('>50', 0.09920703267069818)	('>100', 0.1707515297214513)	('>500', 0.07203981714835553)	('>1k', 0.17441018485168627)	('>5k', 0.06994309305910545)	('>10k+', 0.0)
WW2-5.1	(1.0, 62.77184800691502)	(2.0, 23.38508501548087)	(3.0, 6.920974004399237)	(4.0, 2.203415902245756)	(5.0, 0.8469731454881413)	(6.0, 0.4334801317310624)	(7.0, 0.31270208390929055)	(8.0, 0.25486170861009705)	(9.0, 0.2059298191531446)	('>10', 1.928365155335277)	('>50', 0.19430766813426703)	('>100', 0.15342448431764102)	('>500', 0.06391682028344547)	('>1k', 0.1941209298210952)	('>5k', 0.08060824458810287)	('>10k+', 0.04998687958746523)
WW2-5.2	(1.0, 63.10676802731623)	(2.0, 23.14526920575462)	(3.0, 6.925849153604581)	(4.0, 2.1470621598635535)	(5.0, 0.8512011835966209)	(6.0, 0.4516203142997462)	(7.0, 0.3037621339036713)	(8.0, 0.23485551090044457)	(9.0, 0.19091154931238033)	('>10', 1.891247312790897)	('>50', 0.22352805845796045)	('>100', 0.17877335408703654)	('>500', 0.061525553834361424)	('>1k', 0.17916908881043228)	('>5k', 0.08284766486289807)	('>10k+', 0.02560972860452509)
