Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
BH3-2.1	22.717609043568103	36.0	149.0923042800246	150	9.090909090909092	43.82358
BH3-2.2	22.546362972787833	36.0	149.06601875063606	150	9.090909090909092	43.82358
WW1-2.1	20.55835952844363	37.0	149.3432314063378	150	0.0	47.857194
WW1-2.2	20.40248007120377	37.0	149.32316949046364	150	0.0	47.857194
WW1-4.1	19.89771654048991	37.0	149.39592743148407	150	0.0	45.228705
WW1-4.2	19.736696602833348	37.0	149.37587549765132	150	0.0	45.228705
WW2-1.1	20.705637744639986	38.0	149.42841374370045	150	0.0	48.943005
WW2-1.2	20.56460491608695	38.0	149.40982410050222	150	0.0	48.943005
WW2-5.1	22.221262125729538	38.0	149.35836332131615	150	9.090909090909092	49.723529
WW2-5.2	22.023061809672896	38.0	149.33314395283568	150	9.090909090909092	49.723529
WW2-6.1	21.01331144060603	37.0	149.3595656952936	150	0.0	45.222995999999995
WW2-6.2	20.739325169890634	37.0	149.33066508906222	150	0.0	45.222995999999995
WW3-1.1	17.972544259312258	37.0	149.37928497107535	150	0.0	36.56915
WW3-1.2	17.897545953560126	37.0	149.35916659260607	150	0.0	36.56915
WW5-1.1	19.803594203644295	37.0	149.4240262863323	150	0.0	45.653231
WW5-1.2	19.650670053933425	37.0	149.40232006799255	150	0.0	45.653231
WW5-3.1	19.58931058316786	37.0	149.38483904941086	150	0.0	47.876245999999995
WW5-3.2	19.143745364668135	37.0	149.34296429590574	150	0.0	47.876245999999995
WW5-4.1	11.961703443530922	37.0	149.47274969110947	150	0.0	28.222780999999998
WW5-4.2	11.953123132561089	37.0	149.4547362288642	150	0.0	28.222780999999998
WW5-5.1	23.00376483327375	37.0	149.4601363932051	150	0.0	62.058809999999994
WW5-5.2	22.885273485530632	37.0	149.44399642854899	150	0.0	62.058809999999994
WW5-6.1	13.28321940989423	37.0	149.40482074017288	150	0.0	30.070569
WW5-6.2	13.083466621373418	37.0	149.38379021028834	150	0.0	30.070569
