Module	Section	Sample Name	Source
FastQC	all_sections	WW5-3.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-3/WW5-3.1.fastp_fastqc.zip
FastQC	all_sections	WW5-3.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-3/WW5-3.2.fastp_fastqc.zip
FastQC	all_sections	WW1-4.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW1-4/WW1-4.2.fastp_fastqc.zip
FastQC	all_sections	WW1-4.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW1-4/WW1-4.1.fastp_fastqc.zip
FastQC	all_sections	WW5-5.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-5/WW5-5.1.fastp_fastqc.zip
FastQC	all_sections	WW5-5.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-5/WW5-5.2.fastp_fastqc.zip
FastQC	all_sections	WW2-6.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW2-6/WW2-6.2.fastp_fastqc.zip
FastQC	all_sections	WW2-6.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW2-6/WW2-6.1.fastp_fastqc.zip
FastQC	all_sections	WW5-4.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-4/WW5-4.2.fastp_fastqc.zip
FastQC	all_sections	WW5-4.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-4/WW5-4.1.fastp_fastqc.zip
FastQC	all_sections	WW2-5.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW2-5/WW2-5.2.fastp_fastqc.zip
FastQC	all_sections	WW2-5.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW2-5/WW2-5.1.fastp_fastqc.zip
FastQC	all_sections	WW3-1.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW3-1/WW3-1.2.fastp_fastqc.zip
FastQC	all_sections	WW3-1.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW3-1/WW3-1.1.fastp_fastqc.zip
FastQC	all_sections	WW1-2.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW1-2/WW1-2.1.fastp_fastqc.zip
FastQC	all_sections	WW1-2.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW1-2/WW1-2.2.fastp_fastqc.zip
FastQC	all_sections	WW5-1.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-1/WW5-1.2.fastp_fastqc.zip
FastQC	all_sections	WW5-1.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-1/WW5-1.1.fastp_fastqc.zip
FastQC	all_sections	WW2-1.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW2-1/WW2-1.1.fastp_fastqc.zip
FastQC	all_sections	WW2-1.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW2-1/WW2-1.2.fastp_fastqc.zip
FastQC	all_sections	WW5-6.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-6/WW5-6.2.fastp_fastqc.zip
FastQC	all_sections	WW5-6.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/WW5-6/WW5-6.1.fastp_fastqc.zip
FastQC	all_sections	BH3-2.2	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/BH3-2/BH3-2.2.fastp_fastqc.zip
FastQC	all_sections	BH3-2.1	/lustre/scratch126/tol/teams/jaron/projects/springtail_haploid_selection/data/results/fastqc_trimmed_afusca/BH3-2/BH3-2.1.fastp_fastqc.zip
