linkage	degeneracy	iton	count
A	0D	0	5746147
A	4D	0	4214009
A	0D	1	3248.0
A	4D	1	3976.0
A	0D	2	1328.0
A	4D	2	2070.0
A	0D	3	903.0
A	4D	3	1473.0
A	0D	4	730.0
A	4D	4	1277.0
A	0D	5	501.0
A	4D	5	944.0
A	0D	6	535.0
A	4D	6	1087.0
A	0D	7	592.0
A	4D	7	988.0
A	0D	8	632.0
A	4D	8	1117.0
A	0D	9	446.0
A	4D	9	869.0
A	0D	10	472.0
A	4D	10	891.0
A	0D	11	465.0
A	4D	11	928.0
A	0D	12	526.0
A	4D	12	677.0
X	0D	0	1283252
X	4D	0	947167
X	0D	1	565.0
X	4D	1	356.0
X	0D	2	204.0
X	4D	2	312.0
X	0D	3	130.0
X	4D	3	202.0
X	0D	4	138.0
X	4D	4	180.0
X	0D	5	81.0
X	4D	5	111.0
X	0D	6	67.0
X	4D	6	117.0
X	0D	7	41.0
X	4D	7	80.0
X	0D	8	84.0
X	4D	8	120.0
X	0D	9	60.0
X	4D	9	85.0
X	0D	10	50.0
X	4D	10	86.0
X	0D	11	69.0
X	4D	11	84.0
X	0D	12	75.0
X	4D	12	125.0
