chrom	window_start	window_end	WW5-5	WW2-6	WW5-3	WW5-6	WW5-4	WW1-4	WW2-1	WW5-1	WW3-1	WW1-2	BH3-2	WW2-5
CAMXBY010000001.1	0	200000	1.5e-05	1.5e-05	0.0	0.0	0.0	1.5e-05	1.5e-05	0.0	1.5e-05	2e-05	0.0	0.0
CAMXBY010000002.1	0	200000	0.000125	9.5e-05	8e-05	0.0001	6.5e-05	7e-05	7.5e-05	0.000115	8.5e-05	8.5e-05	0.0001	8.5e-05
CAMXBY010000003.1	0	200000	0.0	0.0	0.000135	0.0	0.0	0.0	0.0	8.5e-05	5e-06	0.000135	1e-05	0.0
CAMXBY010000005.1	0	200000												
CAMXBY010000005.1	200000	400000	0.0	7.5e-05	3e-05	2e-05	2e-05	2e-05	0.0	3e-05	2e-05	2e-05	3.5e-05	0.00013
CAMXBY010000006.1	0	200000	5e-06	0.0	0.0	0.0	5e-06	5e-06	5e-06	5e-06	0.0	0.0	0.0	0.0
CAMXBY010000007.1	0	200000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	0.0	5e-06	5e-06
CAMXBY010000008.1	0	200000	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	1e-05	5e-06
CAMXBY010000009.1	0	200000	2.5e-05	2.5e-05	2e-05	2e-05	2.5e-05	3e-05	1.5e-05	1.5e-05	2.5e-05	3e-05	3.5e-05	3e-05
CAMXBY010000011.1	0	200000	0.002995	0.00149	0.00213	0.00275	0.002885	0.00278	0.002765	0.00144	0.003045	0.00284	0.00127	0.00155
CAMXBY010000011.1	200000	400000	0.000185	1e-05	0.000175	0.000175	0.000165	0.000185	0.000185	2e-05	0.00018	0.000185	2.5e-05	0.0
CAMXBY010000012.1	0	200000	0.00022	0.0	0.00022	1.5e-05	1.5e-05	1.5e-05	5e-06	0.0	0.00022	1.5e-05	0.0	0.0
CAMXBY010000014.1	0	200000	0.0	0.0	5e-05	2.5e-05	0.0	2.5e-05	6e-05	0.0	6e-05	0.0	5e-06	0.0
CAMXBY010000015.1	0	200000	5e-06	5e-06	5e-06	0.0	5e-06	5e-06	0.0	0.0	0.0	0.0	5e-06	5e-06
CAMXBY010000016.1	0	200000	5e-06	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	5e-06	0.0	5e-06	0.0
CAMXBY010000017.1	0	200000	5.5e-05	6e-05	5.5e-05	5.5e-05	5e-05	6.5e-05	4.5e-05	2.5e-05	5e-05	2.5e-05	5e-05	6e-05
CAMXBY010000018.1	0	200000	5.5e-05	0.0001	2.5e-05	6e-05	5e-05	9.5e-05	3e-05	3e-05	2e-05	3.5e-05	2.5e-05	3e-05
