chrom	feature	4D_pi
OX359250.1	g103	NaN
OX359250.1	g104	NaN
OX359250.1	g105	NaN
OX359250.1	g106	NaN
OX359250.1	g107	NaN
OX359250.1	g108	0.02469135802469136
OX359250.1	g109	NaN
OX359250.1	g110	0.002232142857142857
OX359250.1	g111	NaN
OX359250.1	g112	NaN
OX359250.1	g113	NaN
OX359250.1	g114	NaN
OX359250.1	g115	NaN
OX359250.1	g116	NaN
OX359250.1	g117	NaN
OX359250.1	g118	NaN
OX359250.1	g119	0.08401880141010575
OX359250.1	g120	NaN
OX359250.1	g121	NaN
OX359250.1	g122	NaN
OX359250.1	g123	NaN
OX359250.1	g124	NaN
OX359250.1	g125	NaN
OX359250.1	g126	0.010407786302926967
OX359250.1	g127	NaN
OX359250.1	g128	NaN
OX359250.1	g129	NaN
OX359250.1	g130	0.003333333333333333
OX359250.1	g131	0.017239097346304015
OX359250.1	g132	NaN
OX359250.1	g133	NaN
OX359250.1	g134	NaN
OX359250.1	g135	NaN
OX359250.1	g136	0.0014367816091954023
OX359250.1	g137	NaN
OX359250.1	g138	NaN
OX359250.1	g139	0.019370122630992196
OX359250.1	g140	NaN
OX359250.1	g141	0.0043859649122807015
OX359250.1	g142	0.0676823473509147
OX359250.1	g143	NaN
OX359250.1	g144	NaN
OX359250.1	g145	NaN
OX359250.1	g146	NaN
OX359250.1	g147	NaN
OX359250.1	g148	NaN
OX359250.1	g149	NaN
OX359250.1	g150	NaN
OX359250.1	g151	NaN
OX359250.1	g152	0.006460394141553561
OX359250.1	g153	NaN
OX359250.1	g154	0.0011904761904761904
OX359250.1	g155	0.00267379679144385
OX359250.1	g156	NaN
OX359250.1	g157	NaN
OX359250.1	g158	NaN
OX359250.1	g159	NaN
OX359250.1	g160	NaN
OX359250.1	g161	0.0
OX359250.1	g162	NaN
OX359250.1	g163	NaN
OX359250.1	g164	NaN
OX359250.1	g165	NaN
OX359250.1	g166	NaN
OX359250.1	g167	0.0118331791551033
OX359250.1	g168	NaN
OX359250.1	g169	0.0022597254004576655
OX359250.1	g170	NaN
OX359250.1	g171	0.028391077898550724
OX359250.1	g172	NaN
OX359250.1	g173	NaN
OX359250.1	g174	NaN
OX359250.1	g175	0.006272273699215966
OX359250.1	g176	NaN
OX359250.1	g177	NaN
OX359250.1	g178	NaN
OX359250.1	g179	NaN
OX359250.1	g180	NaN
OX359250.1	g181	0.0060975609756097554
OX359250.1	g182	NaN
OX359250.1	g183	NaN
OX359250.1	g184	NaN
OX359250.1	g185	0.0
OX359250.1	g186	0.008426657883179622
OX359250.1	g187	NaN
OX359250.1	g188	NaN
OX359250.1	g189	NaN
OX359250.1	g190	NaN
OX359250.1	g191	NaN
OX359250.1	g192	NaN
OX359250.1	g193	NaN
OX359250.1	g194	NaN
OX359250.1	g195	NaN
OX359250.1	g196	NaN
OX359250.1	g197	NaN
OX359250.1	g198	NaN
OX359250.1	g199	NaN
OX359250.1	g200	NaN
OX359250.1	g201	NaN
OX359250.1	g202	0.0038864114951071473
OX359250.1	g203	0.00042301184433164127
OX359250.1	g204	NaN
OX359250.1	g205	NaN
OX359250.1	g206	0.010380722337244077
OX359250.1	g207	NaN
OX359250.1	g208	NaN
OX359250.1	g209	NaN
OX359250.1	g210	NaN
OX359250.1	g211	0.01699145612755665
OX359250.1	g212	NaN
OX359250.1	g213	NaN
OX359250.1	g214	NaN
OX359250.1	g215	0.06173355629877368
OX359250.1	g216	0.06155416766754747
OX359250.1	g217	NaN
OX359250.1	g218	NaN
OX359250.1	g219	NaN
OX359250.1	g220	0.0
OX359250.1	g221	0.0
OX359250.1	g222	0.0
OX359250.1	g223	NaN
OX359250.1	g224	NaN
OX359250.1	g225	NaN
OX359250.1	g226	0.03236482720178373
OX359250.1	g227	0.027987348007570453
OX359250.1	g228	0.0067261241174284645
OX359250.1	g229	0.010841775971035666
OX359250.1	g230	0.0064241917502787065
OX359250.1	g231	0.007349896480331264
OX359250.1	g232	0.0003894080996884735
OX359250.1	g233	NaN
OX359250.1	g234	0.034386108832376264
OX359250.1	g235	NaN
OX359250.1	g236	NaN
OX359250.1	g237	NaN
OX359250.1	g238	NaN
OX359250.1	g239	NaN
OX359250.1	g240	0.008098891730605285
OX359250.1	g241	NaN
OX359250.1	g242	0.0
OX359250.1	g243	0.0
OX359250.1	g244	NaN
OX359250.1	g245	NaN
OX359250.1	g246	NaN
OX359250.1	g247	NaN
OX359250.1	g248	NaN
OX359250.1	g249	NaN
OX359250.1	g250	NaN
OX359250.1	g251	NaN
OX359250.1	g252	NaN
OX359250.1	g253	0.006414256986339365
OX359250.1	g254	NaN
OX359250.1	g255	NaN
OX359250.1	g256	NaN
OX359250.1	g257	NaN
OX359250.1	g258	NaN
OX359250.1	g259	0.0
OX359250.1	g260	NaN
OX359250.1	g261	0.0011704780726519857
OX359250.1	g262	NaN
OX359250.1	g263	NaN
OX359250.1	g264	NaN
OX359250.1	g265	NaN
